_id,singkat,hasil
3380,takdo,tidak ada
3381,takeabath,mandi
3382,takjugak,tidak juga
3383,takkan,tidak akan
3384,takleh,tidak boleh
3385,taklukan,taklukkan
3386,takmau,tidak mau
3387,takmintak,saya minta
3388,taknak,tidak enak
3389,taknampak,tidak nampak
3390,takok,tanya
3391,takon,tanya
3392,takpa,tidak apa-apa
3393,takpe,tidak apa-apa
3394,taksuka,tidak suka
3395,taktau,tidak tau
3396,tanggalny,tanggalnya
3397,tanggane,tetangganya
3398,tangi,bangun
3399,tangkep,tangkap
3400,tangkiny,tangkinya
3401,tanguh,tangguh
3402,tangung,tanggung
3403,tanks,terimakasih
3404,tanye,tanya
3405,tar,nanti
3406,tasih,masih
3407,taudah,tau dah
3408,taudeh,tau dah
3409,taugak,tau tidak
3410,taun,tahun
3411,taunan,tahunan
3412,taunih,tau nih
3413,tauny,taunya
3414,td,tadi
3415,tdaftar,terdaftar
3416,tdak,tidak
3417,tdi,tadi
3418,tdiny,tadinya
3419,tdinya,tadinya
3420,tdk,tidak
3421,tebakar,terbakar
3422,tebel,tebal
3423,tebengkalai,terbengkalai
3424,tegoran,teguran
3425,tejual,terjual
3426,tekape,Tempat Kejadian Perkara
3427,tekok,tanya
3428,tekon,tanya
3429,telfon,telepon
3430,telimakacih,terimakasih
3431,telp,telepon
3432,telpon,telepon
3433,telu,tiga
3434,temn,teman
3435,tenks,terimakasih
3436,tenkyu,terimakasih
3437,tentuin,tentukan
3438,terbnyak,terbanyak
3439,tereak,teriak
3440,terpangang,terpanggang
3441,tetep,tetap
3442,teteup,tetap
3443,teu,tidak
3444,tga,tega
3445,tgah,tengah
3446,tgantung,tergantung
3447,tggal,tanggal
3448,tggalan,tanggalan
3449,tggi,tinggi
3450,tggl,tanggal
3451,tggu,tunggu
3452,tgihan,tagihan
3453,tgjawab,tanggungjawab
3454,tgkat,tingkat
3455,tgl,tanggal
3456,tgn,tangan
3457,tgs,tugas
3458,thanks,terimakasih
3459,thanx,terimakasih
3460,they,mereka
3461,thn,tahun
3462,thx,terimakasih
3463,tidor,tidur
3464,tiker,tikar
3465,time,waktu
3466,timnas,tim nasional
3467,tingal,tinggal
3468,tingalen,tinggalkan saja
3469,tingalin,tinggalkan
3470,tinggl,tinggal
3471,tingi,tinggi
3472,tjawab,terjawab
3473,tjd,terjadi
3474,tkejut,terkejut
3475,tkg,tukang
3476,tki,tenaga kerja Idonesia
3477,tkp,Tempat Kejadian Perkara
3478,tkpaham,tidak paham
3479,tkpe,Tempat Kejadian Perkara
3480,tks,terima kasih
3481,tku,beli
3482,tkut,takut
3483,tkutnya,takutnya
3484,tlah,telah
3485,tlanjur,terlanjur
3486,Tlf,telepon
3487,tlg,tolong
3488,tlh,telah
3489,tlng,tolong
3490,tlong,tolong
3491,tlor,telor
3492,tlp,telepon
3493,tlpn,telepon
3494,tlpnan,teleponan
3495,tman,teman
3496,tmbah,tambah
3497,tmben,tumben
3498,tmbh,tambah
3499,tmbhan,tambahan
3500,tmbhn,tambahan
3501,tmen,teman
3502,tmenan,berteman
3503,tmenya,temannya
3504,tmn,teman
3505,tmnin,temani
3506,tmnny,temannya
3507,tmnnya,temannya
3508,tmpat,tempat
3509,tmpat2,tempat-tempat
3510,tmpatny,tempatnya
3511,tmpt,tempat
3512,tmsk,termasuk
3513,tmt,tamat
3514,tmu,temu
3515,tmukn,temukan
3516,tnang,tenang
3517,tndk,tindak
3518,tndng,tanding
3519,tng,tenang
3520,tngah,tengah
3521,tngal,tinggal
3522,tngerang,tangerang
3523,tnggal,tinggal
3524,tnggi,tinggi
3525,tnggl,tinggal
3526,tnggu,tunggu
3527,tnggung,tanggung
3528,tngh,tengah
3529,tngi,tinggi
3530,tngkap,tangkap
3531,tngkrongan,tongkrongan
3532,tngl,tinggal
3533,tngn,tangan
3534,tngrng,tangerang
3535,tngu,tunggu
3536,tnp,tanpa
3537,tnpa,tanpa
3538,tntu,tentu
3539,tny,tanya
3540,tnya,tanya
3541,tnyaen,tanyakan
3542,tnye,tanya
3543,tnykan,tanyakan
3544,tnyt,ternyata
3545,to,untuk
3546,today,hari ini
3547,tonight,malam ini
3548,tp,tetapi
3549,tpi,tapi
3550,tpt,tepat
3551,tq,terimakasih
3552,trbaik,terbaik
3553,trbang,terbang
3554,trbaru,terbaru
3555,trbng,terbang
3556,trbntuk,terbentuk
3557,trbnyk,terbanyak
3558,trbuat,terbuat
3559,trcela,tercela
3560,tresno,suka
3561,trf,tarif
3562,trget,target
3563,trgntung,tergantung
3564,trguling,terguling
3565,trhambat,terhambat
3566,trhormat,terhormat
3567,trhrmat,terhormat
3568,triak,teriak
3569,trjd,terjadi
3570,trjual,terjual
3571,trkait,terkait
3572,trkenal,terkenal
3573,trkhir,terakhir
3574,trktir,traktir
3575,trlalu,terlalu
3576,trlanjur,terlanjur
3577,trlihat,terlihat
3578,trllu,terlalu
3579,trlu,terlalu
3580,trm,terima
3581,trmasuk,termasuk
3582,trminal,terminal
3583,trminat,terminat
3584,trmksi,terimakasih
3585,trmsk,termasuk
3586,trnsaksi,transaksi
3587,trnsksi,transaksi
3588,trnyata,ternyata
3589,trnyt,ternyata
3590,trptong,terpotong
3591,trpuji,terpuji
3592,trs,terus
3593,trserah,terserah
3594,trtentu,tertentu
3595,TRUE,benar
3596,trus,terus
3597,trust,terpercaya
3598,trutama,terutama
3599,truth,kebenaran
3600,try,mencoba
3601,trz,terus
3602,tsb,tersebut
3603,ttap,tetap
3604,ttapi,tetapi
3605,ttd,tanda tangan
3606,ttng,tentang
3607,ttpi,tetapi
3608,ttwa,tertawa
3609,tu,itu
3610,tuiter,twitter
3611,tuiteran,twitteran
3612,tuiterku,twitterku
3613,tuker,tukar
3614,tukeran,bertukar
3615,tukoke,belikan
3616,tukokne,belikan
3617,tukokno,belikan
3618,tukr,tukar
3619,tuku,beli
3620,tukuen,beli saja
3621,tungu,tunggu
3622,tungulah,tunggulah
3623,tunjukan,tunjukkan
3624,tunjukin,tunjukkan
3625,turu,tidur
3626,tv,televisi
3627,twet,tweet
3628,twit,tweet
3629,twiter,twitter
3630,twiteran,twitteran
3631,u,kamu
3632,u/,untuk
3633,ud,sudah
3634,uda,sudah
3635,udah,sudah
3636,Ude,sudah
3637,udeh,sudah
3638,udh,sudah
3639,uga,tidak
3640,ugak,tidak
3641,ujan,hujan
3642,uke,oke
3643,ulngn,ulangan
3644,ultah,ulang tahun
3645,ulth,ulang tahun
3646,uncle,paman
3647,unyu,lucu
3648,unyukan,lucukan
3649,utamain,utamakan
3650,utk,untuk
3651,vacation,liburan
3652,vidio,video
3653,w,saya
3654,wadh,aduh
3655,wadoh,aduh
3656,wadon,perempuan
3657,wadu,aduh
3658,waduh,aduh
3659,wae,saja
3660,wagub,wakil gubernur
3661,wait,tunggu
3662,walaupn,walaupun
3663,want,ingin
3664,wareg,kenyang
3665,warkop,warung kopi
3666,warteg,warung tegal
3667,wat,untuk
3668,web,situs
3669,website,situs
3670,wedok,perempuan
3671,wekday,weekday
3672,wekeend,akhir pekan
3673,wekend,akhir pekan
3674,wes,sudah
3675,what,apa
3676,when,kapan
3677,where,dimana
3678,while,ketika
3679,why,kenapa
3680,win,menang
3681,wis,sudah
3682,wkt,waktu
3683,wktu,waktu
3684,wktuny,waktunya
3685,wktunya,waktunya
3686,wnita,wanita
3687,woman,wanita
3688,women,wanita
3689,wonten,ada
3690,Wontene,yang ada
3691,words,kata
3692,work,bekerja
3693,world,dunia
3694,wrn,warna
3695,wrna,warna
3696,wtf,bangsat
3697,Wuedan,edan
3698,yaolo,Ya Allah
3699,yaoloh,Ya Allah
3700,Yaowoh,Ya Allah
3701,yaud,ya sudah
3702,Yauda,ya sudah
3703,yaudah,ya sudah
3704,Yaude,ya sudah
3705,yaudeh,ya sudah
3706,yaudh,ya sudah
3707,yawdah,ya sudah
3708,yawes,ya sudah
3709,yaweslah,ya sudahlah
3710,yawlloh,Ya Allah
3711,yawloh,Ya Allah
3712,Yawoh,Ya Allah
3713,Ydh,ya sudah
3714,year,tahun
3715,yearbok,buku tahunan
3716,yearbook,buku tahunan
3717,yegak,iya tidak
3718,yes,ya
3719,yg,yang
3720,yng,yang
3721,yo,ya
3722,yawww,ya
3723,yoi,ya
3724,you,kamu
3725,yowes,ya sudah
3726,yoweslah,ya sudahlah
3727,yowis,ya sudah
,yth,yang terhormat
,yudeh,ya sudah
,yudh,ya sudah
,ywd,ya sudah
,ywdah,ya sudah
,ywdh,ya sudah
,ywdhlh,ya sudahlah
,ywis,ya sudah
,rp,rupiah
